AgentId;TimeStep;RequestedEnergyInMWH;AwardedEnergyInMWH
100;662255999;12431.0;
100;662256001;;12431.0
100;662259599;11416.0;
100;662259601;;11416.0
100;662263199;11163.0;
100;662263201;;11163.0
100;662266799;11036.0;
100;662266801;;11036.0
100;662270399;11192.0;
100;662270401;;11192.0
100;662273999;12177.0;
100;662274001;;12177.0
100;662277599;12685.0;
100;662277601;;12685.0
100;662281199;15222.0;
100;662281201;;15222.0
100;662284799;16491.0;
100;662284801;;16491.0
100;662288399;17125.0;
100;662288401;;17125.0
100;662291999;17378.0;
100;662292001;;17378.0
100;662295599;16997.0;
100;662295601;;16997.0
100;662299199;16237.0;
100;662299201;;16237.0
100;662302799;15476.0;
100;662302801;;15476.0
100;662306399;15222.0;
100;662306401;;15222.0
100;662309999;14968.0;
100;662310001;;14968.0
100;662313599;15095.0;
100;662313601;;15095.0
100;662317199;15729.0;
100;662317201;;15729.0
100;662320799;16491.0;
100;662320801;;16491.0
100;662324399;17505.0;
100;662324401;;17505.0
100;662327999;18012.0;
100;662328001;;18012.0
100;662331599;17251.0;
100;662331601;;17251.0
100;662335199;16744.0;
100;662335201;;16744.0
100;662338799;14968.0;
100;662338801;;14968.0
